,Name,ID,State,Network,County,Elevation_feet,Latitude,Longitude
1752,MEMP,38,TX,WTM,Hall,2057,34.73,-100.53
1753,MENA,83,TX,WTM,Menard,1924,30.93,-99.81
1754,MERT,71,TX,WTM,Irion,2174,31.3,-100.81
1755,MORT,12,TX,WTM,Cochran,3754,33.73,-102.74
1756,MULE,11,TX,WTM,Bailey,3806,34.21,-102.74
1757,NEWH,100,TX,WTM,Lynn,3245,33.33,-101.91
1758,NORT,52,TX,WTM,Motley,2088,34.27,-100.6
1759,ODON2,14,TX,WTM,Lynn,3054,32.98,-101.83
1760,OLTO,130,TX,WTM,Lamb,3566,34.09,-102.12
1761,PADU,36,TX,WTM,Cottle,2021,33.89,-100.4
1762,PAMP,40,TX,WTM,Gray,3216,35.54,-100.93
1763,PANH,94,TX,WTM,Carson,3457,35.33,-101.39
1764,PITC,34,TX,WTM,King,1998,33.57,-100.48
1765,PLAI,17,TX,WTM,Yoakum,3711,33.23,-102.84
1766,RALL,9,TX,WTM,Crosby,3097,33.67,-101.38
1767,REES2,1,TX,WTM,Lubbock,3343,33.61,-102.05
1768,ROAR,7,TX,WTM,Motley,2615,33.94,-100.85
1769,SASU,54,TX,WTM,Tom_Green,1957,31.54,-100.51
1770,SEAG,15,TX,WTM,Gaines,3360,32.94,-102.57
1771,SEMI,25,TX,WTM,Gaines,3313,32.74,-102.64
1772,SEYM,58,TX,WTM,Baylor,1302,33.63,-99.29
1773,SILV,23,TX,WTM,Briscoe,3202,34.45,-101.19
1774,SPUR,32,TX,WTM,Dickens,2287,33.48,-100.88
1775,STAM,102,TX,WTM,Jones,1551,32.91,-99.72
1776,STER,70,TX,WTM,Sterling,2354,31.83,-101.06
1777,STLW,55,TX,WTM,Glasscock,2693,31.66,-101.6
1778,TARZ,84,TX,WTM,Martin,2840,32.31,-102.01
1779,TATU,51,NM,WTM,Lea,4018,33.24,-103.35
1780,TULI,22,TX,WTM,Swisher,3478,34.54,-101.74
1781,UMBA,76,TX,WTM,Randall,3758,34.99,-102.08
1782,VALL,49,TX,WTM,Hall,2450,34.38,-100.93
1783,VIGO,95,TX,WTM,Swisher,3394,34.65,-101.5
1784,WALL2,57,TX,WTM,Tom_Green,1870,31.38,-100.27
1785,WEIN,73,TX,WTM,Haskell,1504,33.34,-99.67
1786,WELC,96,TX,WTM,Dawson,3121,32.93,-102.13
1787,WOLF,47,TX,WTM,Lubbock,3307,33.42,-102.05
1788,Pamlico_Aquaculture_Field_Lab,AURO,NC,ECONET,Beaufort,4,35.362,-76.716
1789,Bald_Head_Island_Conservancy,BALD,NC,ECONET,Brunswick,30,33.846,-77.966
1790,Boone_-_ASU_Stn,BOON,NC,ECONET,Watauga,3254,36.221,-81.63
1791,Buckland_Elementary,BUCK,NC,ECONET,Gates,25,36.47,-76.761
1792,Burnsville_Tower,BURN,NC,ECONET,Yancey,2702,35.919,-82.26
1793,Horticultural_Crops_Res_Stn,CAST,NC,ECONET,New_Hanover,43,34.321,-77.916
1794,DAQ_Clayton_Profiler,CLA2,NC,ECONET,Johnston,250,35.592,-78.459
1795,Central_Crops_Research_Station,CLAY,NC,ECONET,Johnston,350,35.67,-78.493
1796,Horticultural_Crops_Research_Stn,CLIN,NC,ECONET,Sampson,166,35.022,-78.282
1797,North_Durham_Water_Reclamation_Facility,DURH,NC,ECONET,Durham,332,36.029,-78.859
1798,Wayah_Bald_Mountain,WINE,NC,ECONET,Macon,5469,35.173,-83.581
1799,Frying_Pan_Mountain,FRYI,NC,ECONET,Haywood,5320,35.394,-82.774
1800,Cherry_Research_Station,GOLD,NC,ECONET,Wayne,79,35.379,-78.045
1801,NC_A&T_SU_Research_Farm,NCAT,NC,ECONET,Guilford,792,36.067,-79.734
1802,Hamlet_Tower,HAML,NC,ECONET,Richmond,336,34.842,-79.738
1803,Bearwallow_Mountain,BEAR,NC,ECONET,Henderson,4219,35.461,-82.358
1804,UNCG_-_Lindale_Farm_Stn,HIGH,NC,ECONET,Guilford,910,35.99,-79.97
1805,Sandhills_Research_Station,JACK,NC,ECONET,Montgomery,625,35.188,-79.684
1806,Cunningham_Research_Station,KINS,NC,ECONET,Lenoir,95,35.303,-77.573
1807,Upper_Mountain_Research_Stn,LAUR,NC,ECONET,Ashe,3009,36.402,-81.297
1808,Peanut_Belt_Research_Station,LEWS,NC,ECONET,Bertie,61,36.132,-77.176
1809,NC_Electric_Cooperative_Anson_Peaking_Plant,LILE,NC,ECONET,Anson,456,34.97,-79.918
1810,Mtn_Horticultural_Crops_Res_Stn,FLET,NC,ECONET,Henderson,2067,35.427,-82.559
1811,Mount_Mitchell_State_Park,MITC,NC,ECONET,Yancey,6200,35.759,-82.271
1812,North_Stanly_Middle_School,NEWL,NC,ECONET,Stanly,585,35.41,-80.237
1813,Oxford_Tobacco_Research_Stn,OXFO,NC,ECONET,Granville,500,36.303,-78.617
1814,Tidewater_Research_Station,PLYM,NC,ECONET,Washington,20,35.849,-76.651
1815,Lake_Wheeler_Rd_Field_Lab,LAKE,NC,ECONET,Wake,382,35.728,-78.68
1816,Reedy_Creek_Field_Laboratory,REED,NC,ECONET,Wake,420,35.807,-78.744
1817,Upper_Piedmont_Research_Stn,REID,NC,ECONET,Rockingham,858,36.382,-79.7
1818,Upper_Coastal_Plain_Res_Stn,ROCK,NC,ECONET,Edgecombe,88,35.893,-77.68
1819,Piedmont_Research_Station,SALI,NC,ECONET,Rowan,703,35.697,-80.622
